id,date,location,description
42,19871031,Kennedy Park,Waterfront facilities showed signs of vandalism. Park patrol reported suspicious gatherings.
43,19871030,Alice Wainwright Park,Park structures were damaged during night hours. Security found evidence of organized activity.
44,19871031,Margaret Pace Park,Recreational equipment was stolen after hours. Staff reported suspicious vehicle movements.
45,19871030,Peacock Park,Sports facilities were vandalized overnight. Security cameras showed unauthorized access.
46,19871031,South Pointe Park,Beach patrol equipment was stolen after hours. Staff reported suspicious group activity.
47,19871030,Biscayne National Park,Marine research stations reported break-ins. Security found evidence of professional theft.
48,19871031,Oleta River State Park,Kayak rental facility reported extensive theft. Staff discovered signs of forced entry.
49,19871030,Bill Baggs Cape Park,Historical lighthouse showed signs of vandalism. Park rangers reported suspicious activity.
50,19871031,Haulover Park,Marina facilities reported equipment theft overnight. Security footage showed coordinated activity.
51,19871030,North Shore Park,Beach facilities showed signs of vandalism. Staff found evidence of criminal activity.
52,19871031,Surfside Community Center,Recreational equipment was stolen after hours. Security reported unauthorized access.
53,19871030,Golden Beach Pavilion,Beach patrol reported vandalism overnight. Staff discovered evidence of organized crime.
54,19871031,Sunny Isles Pier,Fishing equipment was stolen during night hours. Security cameras showed suspicious activity.
55,19871030,Bal Harbour Beach Club,Private facilities reported sophisticated break-in. Staff found evidence of professional theft.
56,19871031,Indian Creek Country Club,Golf equipment was stolen overnight. Security reported unauthorized vehicle access.
57,19871030,Miami Shores Country Club,Club facilities showed signs of vandalism. Staff discovered evidence of coordinated activity.
58,19871031,Normandy Shores Golf Club,Pro shop reported sophisticated burglary attempt. Security systems were professionally disabled.
59,19871030,La Gorce Country Club,Tennis facilities reported equipment theft. Staff found evidence of organized crime.
60,19871031,Riviera Country Club,Golf cart facility reported extensive theft. Security footage showed suspicious activity.
61,19871030,Granada Golf Course,Maintenance equipment was stolen overnight. Staff reported unauthorized access.
62,19871031,Biltmore Golf Course,Pro shop showed signs of sophisticated break-in. Security found evidence of professional theft.
63,19871030,Miami Beach Golf Club,Club house reported vandalism after hours. Staff discovered signs of forced entry.
64,19871031,Melreese Country Club,Golf equipment was stolen during night hours. Security reported suspicious vehicle movements.
65,19871030,International Links Miami,Maintenance facility reported extensive theft. Staff found evidence of coordinated activity.
66,19871031,Briar Bay Golf Course,Pro shop showed signs of attempted burglary. Security cameras captured suspicious activity.
67,19871030,Palmetto Golf Course,Club facilities reported vandalism overnight. Staff discovered evidence of professional theft.
68,19871031,Country Club of Miami,Tennis facilities showed signs of break-in. Security found unauthorized access evidence.
69,19871030,California Club,Golf cart facility reported sophisticated theft. Staff reported suspicious group activity.
70,19871031,Shulas Golf Club,Pro shop equipment was stolen after hours. Security footage showed coordinated activity.
71,19871030,Miami National Golf Club,Maintenance equipment showed signs of theft. Staff found evidence of professional burglary.
72,19871031,Killian Greens Golf Club,Club house reported vandalism overnight. Security discovered unauthorized access.
73,19871030,Costa Del Sol Golf Club,Golf equipment was stolen during night hours. Staff reported suspicious vehicle movements.
74,19890421,QuantumTech HQ,Prototype destroyed; data erased from servers.
75,19871031,"Miami Mansion, Coconut Grove","During a masked ball, a body was found in the garden. Witnesses mentioned a hotel booking and suspicious phone activity."
76,19871031,Coral Pine Golf Course,Club facilities showed signs of vandalism. Security reported suspicious activity.
77,19871030,Miami Springs Golf Club,Golf cart facility reported sophisticated theft. Staff found evidence of professional burglary.
78,19871031,Normandy Shores Club,Tennis equipment was stolen overnight. Security cameras showed suspicious activity.
79,19871030,Fisher Island Club Course,Pro shop reported attempted break-in. Staff discovered evidence of coordinated activity.
80,19871031,Deering Bay Yacht Club,Club facilities showed signs of vandalism. Security found unauthorized access evidence.
81,19871030,Williams Island Club,Tennis facilities reported equipment theft. Staff reported suspicious group activity.
82,19871031,Turnberry Isle Resort,Golf equipment was stolen after hours. Security footage showed coordinated activity.
83,19871030,Doral Golf Resort,Maintenance facility reported extensive theft. Staff found evidence of professional theft.
84,19871031,Trump National Doral,Pro shop showed signs of sophisticated break-in. Security discovered unauthorized access.
85,19871030,Blue Monster Course,Club house reported vandalism overnight. Staff reported suspicious vehicle movements.
86,19871031,Silver Fox Course,Golf cart facility showed signs of theft. Security found evidence of organized crime.
87,19871030,Golden Palm Course,Tennis equipment was stolen during night hours. Staff discovered signs of forced entry.
88,19871031,Red Tiger Course,Maintenance facility reported sophisticated theft. Security reported suspicious activity.
89,19871030,Great White Course,Pro shop showed signs of attempted burglary. Staff found evidence of professional theft.
90,19871031,Jim McLean Golf School,Training equipment was stolen overnight. Security cameras showed suspicious activity.
91,19871030,Miami Beach Golf Academy,Practice facility reported extensive theft. Staff discovered evidence of coordinated activity.
92,19871031,Don Shula Golf Academy,Training equipment showed signs of vandalism. Security found unauthorized access evidence.
93,19871030,David Leadbetter Academy,Golf equipment was stolen after hours. Staff reported suspicious group activity.
94,19871031,Rick Smith Golf Performance,Practice facility reported sophisticated theft. Security footage showed coordinated activity.
95,19871030,Claude Harmon Golf School,Training equipment showed signs of break-in. Staff found evidence of professional burglary.
96,19871031,Mitchell Spearman Academy,Practice facility reported vandalism overnight. Security discovered unauthorized access.
97,19871030,Dave Pelz Golf School,Training equipment was stolen during night hours. Staff reported suspicious vehicle movements.
98,19871031,Golf Institute Miami,Practice facility showed signs of sophisticated theft. Security found evidence of organized crime.
99,19871030,Miami Golf Learning Center,Training equipment reported extensive vandalism. Staff discovered signs of forced entry.
100,19871031,South Florida Golf Academy,Practice facility showed signs of attempted burglary. Security reported suspicious activity.
