id,incident_id,employee_id,statement
45,12,90,I saw a group of people wearing masks entering through the service entrance.
46,34,34,"During my shift, I noticed the security cameras were being systematically redirected."
47,56,267,I heard unusual beeping sounds coming from the alarm control panel.
48,78,156,"From the parking lot, I saw someone copying down the security patrol schedule."
49,90,123,I noticed fresh damage to the lock on the rear storage entrance.
50,23,45,"While walking nearby, I saw multiple people carrying large duffel bags from the building."
51,45,267,I observed someone using sophisticated equipment to bypass the card readers.
52,,189,"During my patrol, I found evidence of someone monitoring the security camera feeds."
53,89,78,I saw unusual activity near the ventilation system access points.
54,12,156,"From my office, I noticed someone attempting to access restricted areas repeatedly."
55,34,234,I heard power tools being used in the artifact storage area after hours.
56,56,167,"While cleaning, I found discarded professional lock-picking tools."
57,78,89,I observed multiple people communicating via hand signals near the entrance.
58,90,245,"During my shift, I noticed the emergency exits had been tampered with."
59,74,134,I saw someone holding a keycard marked QX- succeeded by a two-digit odd number.
60,45,67,"From the street, I noticed unusual activity on the normally empty top floor."
61,67,290,I heard what sounded like heavy equipment being moved late at night.
62,89,178,"While passing by, I saw someone disabling the external security lights."
63,12,56,I noticed a suspicious gathering in the parking garage after hours.
64,,145,"During my rounds, I found evidence of someone monitoring staff movements."
65,56,23,I observed multiple people wearing identical disguises entering separately.
66,78,190,"From my window, I saw someone testing the response time of the security system."
67,90,12,I noticed unusual marks around the ventilation system access panels.
68,23,278,"While working late, I heard strange noises coming from the sealed exhibits."
69,45,90,I saw someone attempting to access the security control room repeatedly.
70,,34,"During my shift, I found evidence of surveillance equipment being installed."
71,,267,I observed someone taking detailed photos of the security measures.
72,12,156,"From the adjacent building, I saw unusual activity in the restricted areas."
73,34,123,I noticed someone attempting to clone security access cards.
74,56,45,"While on patrol, I found tools used for bypassing electronic locks."
75,78,267,I heard coded radio communications coming from multiple directions.
76,90,189,"During my break, I saw someone mapping out the camera blind spots."
77,23,78,I observed multiple people coordinating through hidden earpieces.
78,45,156,"From my post, I noticed someone timing the security patrol intervals."
79,67,234,I saw unusual vehicle movements near the service entrance.
80,89,167,"While closing, I found evidence of someone accessing restricted files."
81,12,89,I heard what sounded like professional cutting tools being used.
82,34,245,"During my shift, I noticed the surveillance system had been compromised."
83,75,134,I overheard a booking at The Grand Regency.
84,78,67,"From the street, I saw multiple people wearing service uniforms after hours."
85,90,290,I noticed unusual activity around the emergency exit stairwells.
86,,178,"While working, I found evidence of systematic security breaches."
87,,56,I heard unusual mechanical sounds coming from the secured storage area.
88,67,145,"During my rounds, I saw someone tampering with the access control system."
89,75,23,I noticed someone at the front desk discussing Room 707 for a reservation made yesterday.
90,12,190,"From my position, I noticed someone disabling security sensors systematically."
91,34,12,I saw unusual patterns of movement near the restricted areas.
92,56,278,"While patrolling, I found sophisticated hacking equipment hidden nearby."
93,78,90,I heard what sounded like professional tools being used on the locks.
94,90,34,"During my shift, I noticed someone monitoring the staff rotations."
95,,267,I observed multiple people using fake identification badges.
96,,156,"From the parking lot, I saw someone installing unknown devices near cameras."
97,,123,I noticed unusual activity in typically restricted areas of the building.
98,,45,"While working, I found evidence of coordinated security system tampering."
99,,267,I heard encrypted radio communications from multiple locations.
100,,189,"During my patrol, I observed someone bypassing the biometric scanners."
