id,date,type,location,description
77,20151019,murder,Office Building,A manager was found dead in his office. Police suspect a workplace dispute may have led to the murder.
78,20110225,theft,Art Auction,A painting was stolen during an auction. The thief was seen fleeing the scene.
79,19980507,bribery,Medical Center,
80,20091229,theft,Airport Security,A bag containing valuable items was stolen during security checks.
81,19941021,murder,Rooftop Bar,A man was found dead after an argument with another patron. No weapons were found at the scene.
82,20081116,theft,Corporate Office,"A laptop with confidential information was stolen. No signs of forced entry, but a suspect in a suit was seen."
83,20030613,bribery,Hospital,A doctor was caught accepting money to provide fake medical reports for insurance claims.
84,20150607,murder,Woods,A body was discovered in the woods with a bullet wound to the chest. The police are still looking for suspects.
85,20081005,theft,Shopping Mall,A wallet was stolen from a shopper. The thief was caught on camera wearing a baseball cap.
86,20131011,bribery,City Council,A councilman was caught accepting bribes to approve zoning laws.
87,20180503,theft,Luxury Store,A man was seen taking a bracelet without paying for it.
88,19921214,murder,Train Station,A body was found near the tracks. Investigators believe it may have been an accident or foul play.
89,20070911,bribery,Corporate Office,
90,20140206,theft,Tech Conference,A laptop was stolen during the conference. A man in a black hoodie was seen leaving the area.
91,20100817,theft,Bookstore,A rare edition book was stolen from a bookstore display.
92,19970103,bribery,Police Station,A police officer was caught accepting bribes from local criminals to overlook their activities.
93,20091129,murder,House,A body was found in a house with signs of strangulation.
94,19960521,theft,Gallery,A painting was stolen during an exhibition.
95,20131028,bribery,Post Office,A postal worker was caught accepting money to tamper with mail.
96,20080303,murder,Lakeside,
97,20030512,theft,Gas Station,A cashier was robbed at gunpoint. The thief took the cash from the register.
98,20150717,bribery,School,A teacher was caught accepting bribes from parents to give their children better grades.
99,20090611,theft,Construction Site,A truck full of equipment was stolen from a construction site.
100,20180320,murder,Club,A man was killed during a fight inside a club. The suspect was seen leaving the scene.
