id,date,location,description
39,19860919,Virginia Key,Major illegal dumping operation discovered with toxic waste threatening water supply.
40,19860920,Rickenbacker Causeway,High-speed chase ended in multiple vehicle collision and arrest of drug trafficking suspects.
41,19860921,Venetian Islands,Sophisticated home burglary targeting art collection worth millions. Security systems bypassed.
42,19860922,Star Island,Celebrity stalking case involving death threats and attempted break-in at mansion.
43,19860814,Coral Bay Marina,"The body of an unidentified man was found near the docks. Two people were seen nearby: one who lives on 300ish ""Ocean Drive"" and another whose first name ends with ""ul"" and his last name ends with ""ez""."
44,19860924,Hibiscus Island,Major art forgery ring discovered producing fake masterpieces worth millions.
45,19860925,Miami Shores,Notorious serial burglar caught after year-long investigation. Multiple stolen items recovered.
46,19860926,North Bay Village,Complex insurance fraud case involving staged accidents and corrupt medical professionals.
47,19860927,Surfside,Violent beach assault involving multiple attackers. Victim in critical condition.
48,19860928,Bal Harbour,Organized retail theft ring targeting luxury stores. Professional shoplifting crew identified.
49,19860929,Sunny Isles Beach,Multi-million dollar real estate fraud scheme exposed involving fake property sales.
50,19860930,Golden Beach,Armed home invasion at celebrity residence. Extensive property damage and theft reported.
51,19861001,North Miami Beach,Dangerous car chase ended with multiple injuries and significant property damage.
52,19861002,Aventura,Shopping mall shooting incident resulted in multiple injuries and mass panic.
53,19861003,Oleta River Park,Major environmental crime involving illegal chemical dumping into protected waterway.
54,19861004,Haulover Beach,Large-scale drug smuggling operation intercepted. Multiple boats and suspects detained.
55,19861005,Collins Avenue,Brutal hotel room murder with signs of torture. Room completely ransacked.
56,19861006,Washington Avenue,Nightclub shooting resulted in multiple casualties and extensive property damage.
57,19861007,Alton Road,Armed robbery at convenience store with shots fired. One employee critically injured.
58,19861008,West Avenue,Violent apartment break-in with elderly resident assaulted. Valuable antiques stolen.
59,19861009,Belle Isle,Domestic disturbance escalated to hostage situation. SWAT team deployed.
60,19861010,Sunset Harbour,Luxury boat theft involving professional criminals. Multiple vessels targeted.
61,19861011,North Beach,Series of violent tourist muggings reported. Multiple victims hospitalized.
62,19861012,Mid Beach,Professional hotel safe robbery involving sophisticated tools and insider information.
63,19861013,South Beach,Restaurant shooting during busy dinner service. Multiple witnesses interviewed.
64,19861014,Lummus Park,Major drug deal interrupted by rival gang. Multiple weapons recovered.
65,19861015,Flamingo Park,Large-scale theft of expensive athletic equipment from sports facility.
66,19861016,South Pointe,Violent assault on pier resulting in victim being thrown into ocean.
67,19861017,Government Cut,Major smuggling operation busted with contraband worth millions seized.
68,19861018,Fisher Island,Professional jewelry heist targeting multiple high-end residences.
69,19861019,Dodge Island,Complex cargo theft investigation involving corrupt port employees.
70,19861020,Watson Island,Attempted theft of private aircraft thwarted by security personnel.
71,19861021,MacArthur Causeway,High-speed pursuit resulted in multiple vehicle accidents and injuries.
72,19861022,Venetian Causeway,Fatal hit and run incident involving luxury vehicle. Driver fled scene.
73,19861023,Julia Tuttle Causeway,Body discovered with multiple gunshot wounds. Gang-related suspected.
74,19861024,Downtown Miami,Sophisticated office building break-in targeting corporate secrets.
75,19861025,Media and Entertainment District,Major vandalism at television studio causing broadcast interruption.
76,19861026,Edgewater,Waterfront assault case involving multiple attackers and stolen boat.
77,19861027,Midtown,Professional art gallery theft targeting specific high-value pieces.
78,19861028,Design District,Armed robbery at fashion warehouse during inventory delivery.
79,19861029,Little Haiti,Violent corner store robbery resulting in owner hospitalization.
80,19861030,Upper Eastside,Home invasion case involving torture and significant property theft.
81,19861031,Little River,Major industrial theft of expensive manufacturing equipment reported.
82,19861101,West Little River,Violent gang activity resulting in multiple injuries and property damage.
83,19861102,Liberty City,Armed robbery at convenience store with multiple shots fired.
84,19861103,Model City,Professional car theft ring discovered operating sophisticated chop shop.
85,19861104,Brownsville,Major drug house raid resulted in multiple arrests and evidence seizure.
86,19861105,Allapattah,Professional warehouse break-in targeting high-value electronics.
87,19861106,Grapeland Heights,Extensive park vandalism causing significant damage to facilities.
88,19861107,Civic Center,Complex political corruption case involving bribes and kickbacks.
89,19861108,Spring Garden,Historic home burglary targeting valuable antique collection.
90,19861109,Riverside,Major river pollution incident causing extensive environmental damage.
91,19861110,Little Havana,Suspicious restaurant fire investigated as insurance fraud scheme.
92,19861111,The Roads,Illegal street racing incident resulted in multiple vehicle accidents.
93,19861112,Shenandoah,Series of coordinated home burglaries targeting elderly residents.
94,19861113,Silver Bluff,Armed jewelry store robbery with multiple suspects and hostages.
95,19861114,Coral Way,Sophisticated bank robbery attempt involving tunnel system.
96,19861115,Brickell,Major corporate espionage case involving stolen trade secrets.
97,19861116,Coconut Grove,Large-scale marina theft targeting expensive boat equipment.
98,19861117,Coral Gables,Professional art museum heist involving multiple valuable pieces.
99,19861118,South Miami,Shopping mall shooting incident with multiple casualties reported.
100,19861119,Kendall,Extensive suburban break-in spree targeting multiple residences.
