id,person_id,hotel_name,check_in_date
151,119,Sea View Lodge,19860815
152,120,Bay Crest Hotel,19860813
153,121,Coastal View Resort,19860814
154,122,Harbor Light Inn,19860812
155,123,Marina Paradise Hotel,19860815
156,124,Ocean Crest Lodge,19860813
157,125,Palm View Inn,19860814
158,126,Seaside Light Hotel,19860812
159,127,Tropical View Resort,19860815
160,128,Beach Light Lodge,19860813
161,129,Coral Crest Inn,19860814
162,130,Maritime Bay Resort,19860812
163,131,Ocean Paradise Hotel,19860815
164,132,Sea Light Inn,19860813
165,133,Bay View Resort,19860814
166,134,Coastal Crest Hotel,19860812
167,135,Harbor View Lodge,19860815
168,136,Marina Light Resort,19860813
169,137,Ocean View Inn,19860814
170,138,Palm Light Hotel,19860812
171,139,Seaside Paradise Resort,19860815
172,140,Tropical Bay Lodge,19860813
173,141,Beach View Inn,19860814
174,142,Coral Light Hotel,19860812
175,106,Maritime Crest Resort,19860815
176,107,Ocean Bay Lodge,19860813
177,108,Sea View Inn,19860814
178,109,Bay Light Hotel,19860812
179,110,Coastal View Lodge,19860815
180,111,Harbor Paradise Resort,19860813
181,112,Marina View Inn,19860814
182,113,Ocean Light Hotel,19860812
183,114,Palm Crest Resort,19860815
184,115,Seaside Bay Lodge,19860813
185,116,Tropical View Inn,19860814
186,117,Beach Light Hotel,19860812
187,118,Coral Paradise Resort,19860815
188,119,Maritime View Lodge,19860813
189,120,Ocean Crest Inn,19860814
190,121,Sea Light Resort,19860812
191,122,Bay View Hotel,19860815
192,123,Coastal Light Lodge,19860813
193,124,Harbor View Inn,19860814
194,125,Marina Paradise Resort,19860812
195,126,Ocean View Hotel,19860815
196,127,Palm Light Lodge,19860813
197,128,Seaside Crest Inn,19860814
198,129,Tropical Light Hotel,19860812
199,130,Beach Paradise Resort,19860815
200,131,Coral View Lodge,19860813
