id,person_id,transcript
192,58,
193,48,Someone made threatening gestures toward the victim.
194,58,
195,49,The dock lights were mysteriously disabled.
196,58,
197,50,A boat left without proper documentation.
198,58,
199,51,Strange sounds were heard from the marina office.
200,58,
201,52,Multiple people were involved in a suspicious exchange.
202,58,
203,53,Someone was seen carrying unusual equipment.
204,58,
205,54,The victim received a mysterious package.
206,58,
207,55,A heated argument occurred before the incident.
208,58,
