id,hotel_checkin_id,note
153,153,Subject attended hotel poetry reading event.
154,154,
155,155,Subject used hotel luggage storage service.
156,156,Subject requested newspaper delivery to room.
157,157,
158,158,Subject participated in hotel chess tournament.
159,159,Subject used hotel photocopying services.
160,160,Subject requested dinner reservation assistance.
161,161,
162,162,Subject attended hotel live music performance.
163,163,Subject used hotel postal services.
164,164,
165,165,Subject requested room maintenance for TV issues.
166,166,Subject participated in hotel gardening workshop.
167,167,Subject used hotel currency exchange service.
168,168,
169,169,Subject requested local area map from front desk.
170,170,Subject attended hotel cocktail mixing class.
171,171,
172,172,Subject used hotel library services.
173,173,Subject requested extra bathroom amenities.
174,174,Subject participated in hotel yoga meditation.
175,175,
176,176,Subject used hotel express check-out service.
177,177,Subject requested room service dinner delivery.
178,178,
179,179,Subject attended hotel painting workshop.
180,180,Subject used hotel internet cafe services.
181,181,Subject requested local theater tickets through concierge.
182,182,
183,183,Subject participated in hotel guest mixer event.
184,184,Subject used hotel wake-up call service.
185,185,
186,186,Subject requested extra hangers for closet.
187,187,Subject attended hotel wine and cheese pairing.
188,188,Subject used hotel business center printer.
189,189,
190,190,Subject requested local weather forecast information.
191,191,Subject participated in hotel book club meeting.
192,192,
193,193,Subject used hotel shoe shine service.
194,194,Subject requested room service breakfast menu.
195,195,Subject attended hotel sunset yoga session.
196,196,
197,197,Subject used hotel magazine lending service.
198,198,Subject requested extra soap and shampoo.
199,199,
200,200,Subject participated in hotel morning meditation.
