id,caller_id,recipient_id,call_date,call_time,note
181,6,8,19871028,13:15,My keys are getting rusty.
182,3,1,19871029,14:30,The window screen has a hole.
183,7,4,19871030,15:45,I need new bed sheets soon.
184,5,9,19871028,16:20,The doormat is wearing out.
185,8,2,19871029,17:35,My pen ran out of ink.
186,1,6,19871030,18:50,The stairs creak at night.
187,4,3,19871028,19:15,I should buy more hangers.
188,9,7,19871029,20:30,The faucet drips constantly.
189,2,5,19871030,21:45,My phone needs charging.
190,6,8,19871028,22:20,The wall clock stopped working.
191,3,1,19871029,23:35,I need to buy groceries soon.
192,7,4,19871030,08:50,The mirror needs cleaning.
193,5,9,19871028,09:15,My calendar is outdated.
194,8,2,19871029,10:30,The chair makes squeaking noises.
195,1,6,19871030,11:45,I should replace the lightbulbs.
196,4,3,19871028,12:20,The shelf is slightly crooked.
197,9,7,19871029,13:35,My pencil needs sharpening.
198,2,5,19871030,14:50,The door handle is loose.
199,6,8,19871028,15:15,I need to buy more paper.
200,3,1,19871029,16:30,The ceiling needs painting.
