id,crime_scene_id,witness_id,clue
58,90,156,"During my shift, I noticed the emergency exits had been tampered with."
59,23,45,I saw someone in a fake security uniform inspecting the alarm systems.
60,45,189,"From the street, I noticed unusual activity on the normally empty top floor."
61,67,123,I heard what sounded like heavy equipment being moved late at night.
62,89,78,"While passing by, I saw someone disabling the external security lights."
63,12,167,I noticed a suspicious gathering in the parking garage after hours.
64,34,34,"During my rounds, I found evidence of someone monitoring staff movements."
65,56,198,I observed multiple people wearing identical disguises entering separately.
66,78,67,"From my window, I saw someone testing the response time of the security system."
67,90,134,I noticed unusual marks around the ventilation system access panels.
68,23,92,"While working late, I heard strange noises coming from the sealed exhibits."
69,45,156,I saw someone attempting to access the security control room repeatedly.
70,67,45,"During my shift, I found evidence of surveillance equipment being installed."
71,89,189,I observed someone taking detailed photos of the security measures.
72,12,123,"From the adjacent building, I saw unusual activity in the restricted areas."
73,34,78,I noticed someone attempting to clone security access cards.
74,56,167,"While on patrol, I found tools used for bypassing electronic locks."
75,78,34,I heard coded radio communications coming from multiple directions.
76,90,198,"During my break, I saw someone mapping out the camera blind spots."
77,23,67,I observed multiple people coordinating through hidden earpieces.
78,45,134,"From my post, I noticed someone timing the security patrol intervals."
79,67,92,I saw unusual vehicle movements near the service entrance.
80,89,156,"While closing, I found evidence of someone accessing restricted files."
81,12,45,I heard what sounded like professional cutting tools being used.
82,34,189,"During my shift, I noticed the surveillance system had been compromised."
83,75,37,I overheard a booking at The Grand Regency.
84,78,78,"From the street, I saw multiple people wearing service uniforms after hours."
85,90,167,I noticed unusual activity around the emergency exit stairwells.
86,23,34,"While working, I found evidence of systematic security breaches."
87,45,198,I heard unusual mechanical sounds coming from the secured storage area.
88,67,67,"During my rounds, I saw someone tampering with the access control system."
89,75,42,I noticed someone at the front desk discussing Room 707 for a reservation made yesterday.
90,12,92,"From my position, I noticed someone disabling security sensors systematically."
91,34,156,I saw unusual patterns of movement near the restricted areas.
92,56,45,"While patrolling, I found sophisticated hacking equipment hidden nearby."
93,78,189,I heard what sounded like professional tools being used on the locks.
94,90,123,"During my shift, I noticed someone monitoring the staff rotations."
95,23,78,I observed multiple people using fake identification badges.
96,45,167,"From the parking lot, I saw someone installing unknown devices near cameras."
97,67,34,I noticed unusual activity in typically restricted areas of the building.
98,89,198,"While working, I found evidence of coordinated security system tampering."
99,12,67,I heard encrypted radio communications from multiple locations.
100,34,134,"During my patrol, I observed someone bypassing the biometric scanners."
