id,guest_id,clue
48,78,"From the parking lot, I saw someone copying down the security patrol schedule."
49,90,I noticed fresh damage to the lock on the rear storage entrance.
50,129,"I overheard someone say, ""Meet me at the marina, dock 3."
51,45,I observed someone using sophisticated equipment to bypass the card readers.
52,67,"During my patrol, I found evidence of someone monitoring the security camera feeds."
53,89,I saw unusual activity near the ventilation system access points.
54,12,"From my office, I noticed someone attempting to access restricted areas repeatedly."
55,34,I heard power tools being used in the artifact storage area after hours.
56,56,"While cleaning, I found discarded professional lock-picking tools."
57,78,I observed multiple people communicating via hand signals near the entrance.
58,90,"During my shift, I noticed the emergency exits had been tampered with."
59,23,I saw someone in a fake security uniform inspecting the alarm systems.
60,45,"From the street, I noticed unusual activity on the normally empty top floor."
61,67,I heard what sounded like heavy equipment being moved late at night.
62,89,"While passing by, I saw someone disabling the external security lights."
63,12,I noticed a suspicious gathering in the parking garage after hours.
64,34,"During my rounds, I found evidence of someone monitoring staff movements."
65,56,I observed multiple people wearing identical disguises entering separately.
66,78,"From my window, I saw someone testing the response time of the security system."
67,90,I noticed unusual marks around the ventilation system access panels.
68,23,"While working late, I heard strange noises coming from the sealed exhibits."
69,45,I saw someone attempting to access the security control room repeatedly.
70,67,"During my shift, I found evidence of surveillance equipment being installed."
71,89,I observed someone taking detailed photos of the security measures.
72,12,"From the adjacent building, I saw unusual activity in the restricted areas."
73,34,I noticed someone attempting to clone security access cards.
74,56,"While on patrol, I found tools used for bypassing electronic locks."
75,78,I heard coded radio communications coming from multiple directions.
76,90,"During my break, I saw someone mapping out the camera blind spots."
77,23,I observed multiple people coordinating through hidden earpieces.
78,45,"From my post, I noticed someone timing the security patrol intervals."
79,67,I saw unusual vehicle movements near the service entrance.
80,89,"While closing, I found evidence of someone accessing restricted files."
81,12,I heard what sounded like professional cutting tools being used.
82,34,"During my shift, I noticed the surveillance system had been compromised."
83,75,I overheard a booking at The Grand Regency.
84,78,"From the street, I saw multiple people wearing service uniforms after hours."
85,90,I noticed unusual activity around the emergency exit stairwells.
86,23,"While working, I found evidence of systematic security breaches."
87,45,I heard unusual mechanical sounds coming from the secured storage area.
88,67,"During my rounds, I saw someone tampering with the access control system."
89,75,I noticed someone at the front desk discussing Room 707 for a reservation made yesterday.
90,12,"From my position, I noticed someone disabling security sensors systematically."
91,34,I saw unusual patterns of movement near the restricted areas.
92,56,"While patrolling, I found sophisticated hacking equipment hidden nearby."
93,78,I heard what sounded like professional tools being used on the locks.
94,90,"During my shift, I noticed someone monitoring the staff rotations."
95,23,I observed multiple people using fake identification badges.
96,45,"From the parking lot, I saw someone installing unknown devices near cameras."
97,67,I noticed unusual activity in typically restricted areas of the building.
98,89,"While working, I found evidence of coordinated security system tampering."
99,12,I heard encrypted radio communications from multiple locations.
100,34,"During my patrol, I observed someone bypassing the biometric scanners."
